index,AGEB,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
4807,8093,681.0,10.0,8.2609375,1.619375,225.0,0.9246875,2.9015625,68.0,289.0,57.0
4840,8106,2458.0,179.0,8.044130434782607,1.8732608695652175,736.0,0.8250000000000001,3.0869565217391304,257.0,985.0,286.0
4887,8110,3123.0,164.0,8.391621621621622,1.9678378378378378,915.0,0.9559459459459458,3.3375675675675676,324.0,1304.0,370.0
4929,8394,1580.0,57.0,8.248,1.9986666666666666,449.0,1.1253333333333333,3.652,137.0,663.0,209.0
4945,8407,752.0,36.0,13.55875,1.39625,274.0,0.69875,3.0675,207.0,178.0,57.0
4954,8426,2272.0,113.0,8.057954545454546,2.1352272727272728,730.0,1.0343181818181817,3.2875,239.0,929.0,332.0
4999,8430,2354.0,92.0,8.356666666666666,1.870909090909091,696.0,1.0157575757575759,3.3284848484848486,195.0,924.0,243.0
5033,8445,2686.0,116.0,8.315000000000001,2.076904761904762,788.0,1.0878571428571429,3.3800000000000003,235.0,1155.0,378.0
5076,845A,2643.0,177.0,11.658421052631578,1.4307017543859648,1026.0,0.7124561403508772,2.7136842105263157,620.0,813.0,230.0
5134,8464,4091.0,231.0,8.939807692307692,2.101346153846154,1231.0,1.0975,3.568076923076923,454.0,1582.0,543.0
5238,8572,599.0,33.0,10.881428571428572,1.6314285714285715,198.0,0.8514285714285714,3.1385714285714283,74.0,156.0,59.0
5246,8587,354.0,13.0,9.584285714285715,2.3885714285714283,103.0,1.1242857142857143,3.7407142857142857,73.0,181.0,73.0
5288,8708,744.0,66.0,9.71375,1.255625,296.0,0.69125,2.4387499999999998,200.0,104.0,66.0
5308,8727,556.0,49.0,6.924666666666667,1.8666666666666667,182.0,0.9326666666666666,3.016,55.0,319.0,69.0
5387,9551,62.0,14.0,7.966666666666666,0.7366666666666667,21.0,0.30833333333333335,1.7683333333333333,23.0,41.0,0.0
5394,9566,414.0,26.0,7.873333333333333,1.7022222222222223,129.0,0.9744444444444444,3.2688888888888887,34.0,225.0,54.0
5404,9585,827.0,4.0,10.242,1.285,254.0,0.8390000000000001,3.071,144.0,236.0,76.0
5415,959A,1212.0,95.0,8.420882352941177,2.1179411764705884,368.0,1.2602941176470588,3.7073529411764703,144.0,896.0,252.0
5952,9744,111.0,0.0,9.83,1.96,36.0,1.165,3.74,14.0,74.0,22.0
5955,9759,183.0,8.0,8.7,2.3049999999999997,51.0,1.155,4.075,19.0,94.0,21.0
6094,9829,69.0,9.0,8.542857142857143,2.867142857142857,21.0,1.0314285714285714,3.5300000000000002,35.0,74.0,20.0
6116,9848,2498.0,50.0,10.189411764705882,1.6988235294117646,768.0,0.9670588235294119,3.4464705882352944,344.0,1002.0,331.0
6134,9852,1089.0,38.0,11.532631578947369,1.4421052631578946,387.0,0.863157894736842,3.0289473684210524,224.0,256.0,147.0
6154,9867,922.0,18.0,11.001764705882353,1.5147058823529411,291.0,0.9394117647058823,3.389411764705882,131.0,253.0,84.0
6172,9871,2907.0,61.0,8.853783783783783,1.5467567567567566,914.0,0.9951351351351352,3.03,433.0,1010.0,344.0
