index,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
570,0647,44,36.0,7.0,14.17,1.69,12.0,0.67,4.0,9.0,13.0,5.0
571,0647,45,21.0,7.0,15.13,1.75,8.0,0.5,3.0,6.0,6.0,0.0
572,0647,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,0647,47,32.0,5.0,13.68,3.08,11.0,0.54,2.91,10.0,7.0,0.0
574,0647,48,47.0,3.0,15.38,2.13,20.0,0.4,2.76,16.0,14.0,0.0
575,0647,50,137.0,16.0,13.7,1.7,54.0,0.52,2.79,32.0,57.0,4.0
576,0647,51,114.0,18.0,14.17,2.31,59.0,0.44,2.28,39.0,43.0,3.0
577,0647,52,357.0,27.0,10.79,2.2,114.0,0.76,3.34,50.0,120.0,20.0
578,0647,53,71.0,18.0,11.52,2.09,28.0,0.59,2.96,17.0,18.0,7.0
579,0647,54,21.0,9.0,9.83,1.36,10.0,0.58,2.63,3.0,11.0,0.0
